id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Journal impact factor>
60	china un..ations corp (cunc-c)	<table><tr><td>CHINA UNITED NETWORK COMMUNICATIONS CORP (CUNC-C)</td></tr><tr><td>Peso: 7</td></tr></table>	0.8844	-0.5018	4	7	7	7	1
61	patsnap .. (pats-non-standard)	<table><tr><td>PATSNAP INFORMATION TECHNOLOGY SUZHOU CO (PATS-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.7834	0.7373	4	1	1	1	1
62	patsnap .. (pats-non-standard)	<table><tr><td>PATSNAP LTD (PATS-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.2007	-0.0612	4	1	1	1	1
63	univ cho.. technology (uynq-c)	<table><tr><td>UNIV CHONGQING SCI & TECHNOLOGY (UYNQ-C)</td></tr><tr><td>Peso: 5</td></tr></table>	0.0157	0.6033	4	5	5	5	1
64	china pi..ance co ltd (ping-c)	<table><tr><td>CHINA PINGAN PROPERTY INSURANCE CO LTD (PING-C)</td></tr><tr><td>Peso: 11</td></tr></table>	-0.2614	-0.8853	4	11	11	11	1
65	pingan p..nsurance co (ping-c)	<table><tr><td>PINGAN PROPERTY & CASUALTY INSURANCE CO (PING-C)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.8079	-0.1359	4	2	2	2	1
66	iqvia inc (iqvi-non-standard)	<table><tr><td>IQVIA INC (IQVI-Non-standard)</td></tr><tr><td>Peso: 6</td></tr></table>	0.0336	-0.0794	16	6	6	6	1
67	shandong.. (shan-non-standard)	<table><tr><td>SHANDONG DEPU TESTING TECHNOLOGY CO LTD (SHAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.5675	-0.8919	4	1	1	1	1
68	state gr.. power corp (sgcc-c)	<table><tr><td>STATE GRID TIANJIN ELECTRIC POWER CORP (SGCC-C)</td></tr><tr><td>Peso: 3</td></tr></table>	0.0417	0.8667	4	3	3	3	1
69	state gr.. corp china (sgcc-c)	<table><tr><td>STATE GRID CORP CHINA (SGCC-C)</td></tr><tr><td>Peso: 51</td></tr></table>	0.2915	0.887	4	54	54	54	1
70	state gr..ic power co (sgcc-c)	<table><tr><td>STATE GRID TIANJIN ELECTRIC POWER CO (SGCC-C)</td></tr><tr><td>Peso: 3</td></tr></table>	-0.968	-0.5145	4	3	3	3	1
71	shanghai.. (shan-non-standard)	<table><tr><td>SHANGHAI YINGTONG MEDICAL TECHNOLOGY CO (SHAN-Non-standard)</td></tr><tr><td>Peso: 3</td></tr></table>	-0.8874	0.2138	4	3	3	3	1
72	shanghai.. (shan-non-standard)	<table><tr><td>SHANGHAI AIRDOC MEDICAL TECHNOLOGY CO (SHAN-Non-standard)</td></tr><tr><td>Peso: 2</td></tr></table>	0.663	0.1472	4	2	2	2	1
73	univ che.. technology (uyct-c)	<table><tr><td>UNIV CHENGDU TECHNOLOGY (UYCT-C)</td></tr><tr><td>Peso: 5</td></tr></table>	-0.2469	0.4852	4	5	5	5	1
74	piesat i.. (pies-non-standard)	<table><tr><td>PIESAT INFORMATION TECHNOLOGY CO LTD (PIES-Non-standard)</td></tr><tr><td>Peso: 4</td></tr></table>	-0.6255	0.7849	4	4	4	4	1
75	boe tech..roup co ltd (boeg-c)	<table><tr><td>BOE TECHNOLOGY GROUP CO LTD (BOEG-C)</td></tr><tr><td>Peso: 7</td></tr></table>	0.3877	0.9948	4	7	7	7	1
76	ant bloc..shanghai co (alpy-c)	<table><tr><td>ANT BLOCKCHAIN TECHNOLOGY SHANGHAI CO (ALPY-C)</td></tr><tr><td>Peso: 3</td></tr></table>	0.4296	-0.3372	4	3	3	3	1
77	alipay h.. technology (alpy-c)	<table><tr><td>ALIPAY HANGZHOU INFORMATION TECHNOLOGY (ALPY-C)</td></tr><tr><td>Peso: 14</td></tr></table>	0.5796	0.9663	4	19	19	19	1
78	china me..munications (cmcq-c)	<table><tr><td>CHINA MERCHANTS CHONGQING COMMUNICATIONS (CMCQ-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.0115	0.3767	4	1	1	1	1
79	inspur s..ware co ltd (inei-c)	<table><tr><td>INSPUR SOFTWARE CO LTD (INEI-C)</td></tr><tr><td>Peso: 2</td></tr></table>	0.1753	-0.2578	4	2	2	2	1
80	xiecheng..ology shang (ctrp-c)	<table><tr><td>XIECHENG TRAVEL NETWORK TECHNOLOGY SHANG (CTRP-C)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.6224	0.7103	4	2	2	2	1
81	suzhou h.. (suzh-non-standard)	<table><tr><td>SUZHOU HYC TECHNOLOGY CO LTD (SUZH-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.9737	0.1467	4	1	1	1	1
82	univ tsinghua (uyqi-c)	<table><tr><td>UNIV TSINGHUA (UYQI-C)</td></tr><tr><td>Peso: 14</td></tr></table>	-0.5511	-0.4082	4	15	15	15	1
83	ling ke .. (ling-non-standard)	<table><tr><td>LING KE INTELLIGENT MEDICAL TECHNOLOGY (LING-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.5606	-0.5046	4	1	1	1	1
84	panasoni..ty manageme (matu-c)	<table><tr><td>PANASONIC INTELLECTUAL PROPERTY MANAGEME (MATU-C)</td></tr><tr><td>Peso: 7</td></tr></table>	0.3774	-0.2597	10	7	7	7	1
85	jiangsu .. (jian-non-standard)	<table><tr><td>JIANGSU CHUFENG INFORMATION TECHNOLOGY CO              LTD (JIAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.9703	-0.3021	4	1	1	1	1
86	jiangsu .. (jian-non-standard)	<table><tr><td>JIANGSU CHUFENG INFORMATION TECHNOLOGY (JIAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.571	0.2609	4	1	1	1	1
87	shanghai.. (shan-non-standard)	<table><tr><td>SHANGHAI QIYUE INFORMATION TECHNOLOGY CO (SHAN-Non-standard)</td></tr><tr><td>Peso: 2</td></tr></table>	0.9037	-0.5157	4	2	2	2	1
88	shuchuan.. (shuc-non-standard)	<table><tr><td>SHUCHUANG WULIAN BEIJING INFORMATION TECHNOLOGY CO LTD (SHUC-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.4786	0.3619	4	1	1	1	1
89	univ cho..qing normal (uncq-c)	<table><tr><td>UNIV CHONGQING NORMAL (UNCQ-C)</td></tr><tr><td>Peso: 3</td></tr></table>	-0.6333	-0.4296	4	3	3	3	1
90	int busi..chines corp (ibmc-c)	<table><tr><td>INT BUSINESS MACHINES CORP (IBMC-C)</td></tr><tr><td>Peso: 138</td></tr></table>	0.1742	-0.1995	16	193	193	193	1
91	zhejiang.. (zhej-non-standard)	<table><tr><td>ZHEJIANG WORKEN D-WELL DATA TECHNOLOGY (ZHEJ-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.5639	0.8667	4	1	1	1	1
92	univ gui.. technology (uyge-c)	<table><tr><td>UNIV GUILIN ELECTRONIC TECHNOLOGY (UYGE-C)</td></tr><tr><td>Peso: 21</td></tr></table>	-0.5254	-0.1053	4	25	25	25	1
93	beijing ..logy co ltd (bidu-c)	<table><tr><td>BEIJING BAIDU NETWORK TECHNOLOGY CO LTD (BIDU-C)</td></tr><tr><td>Peso: 1</td></tr></table>	0.482	0.4099	4	1	1	1	1
94	beijing .. (beij-non-standard)	<table><tr><td>BEIJING CRSC URBAN TRANSIT TECHNOLOGY CO (BEIJ-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.7234	0.0491	4	1	1	1	1
95	crsc urb.. (crsc-non-standard)	<table><tr><td>CRSC URBAN RAIL TRANSIT TECHNOLOGY CO (CRSC-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.4452	-0.484	4	1	1	1	1
96	shanghai.. (shan-non-standard)	<table><tr><td>SHANGHAI CHENGSHI INFORMATION TECHNOLOGY (SHAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.4099	-0.419	4	1	1	1	1
97	fukushim.. (fuku-non-standard)	<table><tr><td>FUKUSHIMA KEN (FUKU-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.6353	0.6204	10	1	1	1	1
98	univ aizu (uyai-non-standard)	<table><tr><td>UNIV AIZU (UYAI-Non-standard)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.9858	0.8567	10	2	2	2	1
99	salesforce.com inc (safo-c)	<table><tr><td>SALESFORCE.COM INC (SAFO-C)</td></tr><tr><td>Peso: 8</td></tr></table>	-0.7718	0.2663	16	9	9	9	1
100	timeface.. (time-non-standard)	<table><tr><td>TIMEFACE TECHNOLOGY CO LTD (TIME-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.8482	0.9855	4	1	1	1	1
101	zhejiang.. (zhej-non-standard)	<table><tr><td>ZHEJIANG TONGHUASHUN INTELLIGENT TECHNOL (ZHEJ-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.4128	-0.8505	4	1	1	1	1
102	pingan u.. (ping-non-standard)	<table><tr><td>PINGAN URBAN CONSTR TECHNOLOGY SHENZHEN (PING-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.1622	-0.8577	4	1	1	1	1
103	wuhan do.. (wuha-non-standard)	<table><tr><td>WUHAN DOUYU YULE NETWORK TECHNOLOGY CO (WUHA-Non-standard)</td></tr><tr><td>Peso: 2</td></tr></table>	0.898	0.7679	4	2	2	2	1
104	state gr..ic power co (sgcc-c)	<table><tr><td>STATE GRID FUJIAN ELECTRIC POWER CO (SGCC-C)</td></tr><tr><td>Peso: 5</td></tr></table>	0.6922	-0.0664	4	5	5	5	1
105	guizhou ..information (cspg-c)	<table><tr><td>GUIZHOU POWER GRID CORP INFORMATION (CSPG-C)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.0168	0.6111	4	2	2	2	1
106	state gr..ower co ltd (sgcc-c)	<table><tr><td>STATE GRID FUJIAN ELECTRIC POWER CO LTD (SGCC-C)</td></tr><tr><td>Peso: 4</td></tr></table>	-0.3442	-0.2313	4	4	4	4	1
107	electric.. grid tianj (sgcc-c)	<table><tr><td>ELECTRIC POWER RES INST STATE GRID TIANJ (SGCC-C)</td></tr><tr><td>Peso: 2</td></tr></table>	0.7742	-0.9218	4	2	2	2	1
108	state gr..ower supply (sgcc-c)	<table><tr><td>STATE GRID TIANJIN JINGHAI POWER SUPPLY (SGCC-C)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.8391	-0.6837	4	1	1	1	1
109	huawei t..gies co ltd (huaw-c)	<table><tr><td>HUAWEI TECHNOLOGIES CO LTD (HUAW-C)</td></tr><tr><td>Peso: 30</td></tr></table>	-0.9308	-0.5557	4	64	64	64	1
110	univ zhejiang (uyzh-c)	<table><tr><td>UNIV ZHEJIANG (UYZH-C)</td></tr><tr><td>Peso: 68</td></tr></table>	-0.6433	0.3967	4	74	74	74	1
111	china pi..ance co ltd (ping-c)	<table><tr><td>CHINA PING AN PROPERTY INSURANCE CO LTD (PING-C)</td></tr><tr><td>Peso: 4</td></tr></table>	0.3793	0.1542	4	4	4	4	1
112	univ sic..na hospital (uscu-c)	<table><tr><td>UNIV SICHUAN WEST CHINA HOSPITAL (USCU-C)</td></tr><tr><td>Peso: 14</td></tr></table>	-0.4118	0.8436	4	15	15	15	1
113	smiltec .. (smil-non-standard)	<table><tr><td>SMILTEC SUZHOU CO LTD (SMIL-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.2562	-0.6708	4	1	1	1	1
114	univ rot..edical cent (urot-c)	<table><tr><td>UNIV ROTTERDAM ERASMUS MEDICAL CENT (UROT-C)</td></tr><tr><td>Peso: 1</td></tr></table>	0.4803	-0.9312	19	1	1	1	1
115	shanghai.. (shan-non-standard)	<table><tr><td>SHANGHAI MEDIA INTELLIGENCE TECHNOLOGY (SHAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.2215	-0.2066	4	1	1	1	1
116	hunan fe.. (huna-non-standard)	<table><tr><td>HUNAN FELBAAR ELECTRONIC TECHNOLOGY CO (HUNA-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3322	-0.0737	4	1	1	1	1
117	chongqin.. informatio (sgcc-c)	<table><tr><td>CHONGQING ELECTRIC POWER CORP INFORMATIO (SGCC-C)</td></tr><tr><td>Peso: 3</td></tr></table>	0.6006	-0.0667	4	3	3	3	1
